"Subject" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
1 31 0.274762571698113 -0.0231429725471698 -0.111259027475472 0.936334753396226 -0.195830494648302 -0.0368500438324528 0.101367588622642 -0.00529522311698113 -0.0314440296207547 0.0414182410132075 -0.104905471339623 0.0613042825792453 -0.0895383509056604 -0.0535419790566038 -0.0765797255962264 -0.227512832126415 -0.227512832126415 -0.325902907188679 -0.219333123779245 -0.500618653773585 -0.354672700526415 -0.103414080754717 -0.323427419301887 -0.35203170269434 -0.273362014720755 -0.482277115037736 -0.397037579320755 -0.274843864281132 -0.352427516477358 -0.285650956339623 -0.287856305356604 -0.352041459735849 -0.519560193098113 -0.391618968166038 -0.0883763461132075 -0.247785713339623 -0.951890246415094 -0.935026190566038 -0.86577235490566 -0.345756566754717 -0.239368144037736 -0.535208372283019 -0.505557347362264 -0.2647901745 -0.370526413718868 -0.489871864311321 -0.499263131830943 -0.571863938396226 -0.363798101339623 -0.363798101339623 -0.346357203626415 -0.325580673650943 -0.544200561377359 -0.408059084364151 -0.139628293811321 -0.273777827366038 -0.400066943764151 -0.254731798962264 -0.588262279660377 -0.541529878264151 -0.268082158641509 -0.436913519328302 -0.515828216724528 -0.435714707528302 -0.428327102632075 -0.612724567264151
2 32 0.279345135833333 -0.0112617794020833 -0.110252822270833 0.837188582020833 -0.0880028120833333 0.002787557625 0.07797167004375 -0.01486615321875 -0.0083988799879375 -0.117286723785 -0.038204887875 0.07768479526875 -0.0554402883958333 -0.05252122599375 -0.03829642675 -0.0490714377291667 -0.0490714377291667 -0.224639960134792 -0.20632019135625 -0.532646608125 -0.124920859375 0.10680524390625 -0.514501280645833 -0.210077035708333 -0.0690447459895833 -0.557143051104167 -0.2749797939375 -0.435315691041667 -0.476080737375 -0.058546673153125 -0.120442607041667 -0.4375132175 -0.607809960833333 -0.0818395952083333 0.114083619854167 -0.529331233541667 -0.960938048333333 -0.956546793125 -0.9582252625 -0.174454050083333 -0.0359585736645833 -0.602705173270833 -0.364189183458333 -0.319053501041667 -0.53020101375 -0.383170900208333 -0.607861197291667 -0.5914593375 -0.0784475277083333 -0.0784475277083333 -0.13148032725 -0.37492154925 -0.599797137083333 -0.0674603239583333 0.0466054880458333 -0.578795317708333 -0.211619152791667 -0.0662318663179167 -0.647789042708333 -0.395332457916667 -0.263729106916667 -0.593582595833333 -0.234548286979167 -0.15355952435 -0.440510895208333 -0.617823251041667
3 33 0.254415194355932 -0.0176239752959322 -0.0936664253050847 0.410676244237288 0.160031627372881 0.376162556508475 0.0897603879152542 0.0131665807012203 -0.0220749978849153 -0.0169238676084746 -0.0943742455779661 0.112492251033898 -0.099900906440678 -0.0396882699169492 -0.0582385616949153 -0.929045365762712 -0.929045365762712 -0.969971855423729 -0.918027476271186 -0.976765512542373 -0.955775578983051 -0.938213190677966 -0.929839782542373 -0.970888738135593 -0.970025566440678 -0.959242205254237 -0.953839142711864 -0.954607639152542 -0.963616229152542 -0.920605892169492 -0.956107147288136 -0.939652128644068 -0.965699892372881 -0.95087397440678 -0.922406258135593 -0.908997632169491 -0.927147040440678 -0.946738277627119 -0.916485121389831 -0.970852402033898 -0.970516716610169 -0.963490766949153 -0.961894446271186 -0.949692209830509 -0.963754418813559 -0.967530156440678 -0.972839366779661 -0.982821140847458 -0.900556794237288 -0.900556794237288 -0.95720826 -0.925794190169491 -0.965661732711864 -0.949580439661017 -0.919657657728814 -0.905171035355932 -0.973586706101695 -0.973437979830509 -0.96636635440678 -0.964785838644068 -0.947947851864407 -0.967180040169492 -0.905916526762712 -0.957903242033898 -0.930164163220339 -0.96783906559322
4 34 0.276960798269231 -0.0196479554096154 -0.106214193461538 0.927747066730769 -0.241510459038462 -0.0377781442082692 0.0757267297557692 0.0293527897751923 -0.00915103327596154 0.0453602349038462 -0.121713841576923 0.0893184770826923 -0.119474492867308 -0.0460996102923077 -0.0611162905846154 -0.402913490253846 -0.402913490253846 -0.574215159153846 -0.508803110076923 -0.787156123269231 -0.450052822961538 -0.468086570969231 -0.673509816923077 -0.536209324346154 -0.578033220538462 -0.786525151730769 -0.622383499807692 -0.662193881730769 -0.726144640961538 -0.481896401980769 -0.537673569192308 -0.653108034807692 -0.821236526730769 -0.422159064669231 -0.443169954151154 -0.560547092096154 -0.961813382307692 -0.952669977307692 -0.932365447307692 -0.507112915211538 -0.561434790461538 -0.807602611153846 -0.666779756384615 -0.528953755284615 -0.7507342775 -0.722498591730769 -0.826593306538462 -0.797382592115385 -0.465918117245 -0.465918117245 -0.563863511153846 -0.566141484782692 -0.830512673653846 -0.412244910267308 -0.465970624953846 -0.541791795711538 -0.520669667124039 -0.573354976923077 -0.827626826538462 -0.682710062307692 -0.467983833119231 -0.782348121538462 -0.541201705192308 -0.603409978846154 -0.585732315423077 -0.856177339807692
5 35 0.274705132553192 -0.0189283051021277 -0.109747667893617 0.63237892893617 -0.0710227659574468 -0.113941828723404 0.0827926525744681 -0.0140372436480851 -0.00360529968319149 -0.0461792750787234 -0.0707986114404255 0.0936575669680851 -0.100775091302128 -0.044720384247234 -0.0551284010106383 -0.0157269959212766 -0.0157269959212766 -0.0481305671719149 -0.130075681620426 -0.374419590446809 -0.238434571361702 0.131070928212766 -0.127184480759574 -0.234736761765957 -0.0435536890425532 -0.229776608665957 -0.350807494382979 -0.248376760361702 -0.110132096385106 -0.0854998986744681 -0.0988006841659574 -0.359099510948936 -0.450747654385106 -0.200544183661702 0.157520701319149 -0.0487598790212766 -0.963671861276596 -0.958527825744681 -0.951144775744681 -0.178147405851064 0.0551382176382979 -0.257058576238298 -0.413269386914894 -0.270742764570213 -0.117375888606383 -0.477929612340426 -0.377851343790638 -0.36867638506383 -0.184366342059574 -0.184366342059574 -0.166219170212766 -0.341260057123404 -0.473941604170213 -0.192411753174468 0.0944485341276596 -0.0836996613531915 -0.193925537106383 0.0879614428085106 -0.283864420659574 -0.436976633510638 -0.293134501765957 -0.204502692829787 -0.37550276606383 -0.267785473659574 -0.448191603404255 -0.54345344393617
6 36 0.269667962627451 -0.0188439168588235 -0.112566191372549 0.870327637843137 -0.135395098039216 -0.0594873054901961 0.0879642729317647 0.000717678035882353 -0.0238222824121569 0.0673385179019608 -0.11572134114902 -0.0225535370941176 -0.12324065164902 -0.0284831125294118 -0.0376911283529412 -0.46095830672549 -0.46095830672549 -0.572873578864706 -0.458524653784314 -0.726792376058824 -0.610472243196078 -0.384763329411765 -0.534230126207843 -0.610440754039216 -0.538654340929412 -0.666402315607843 -0.685075235647059 -0.628676730588235 -0.378901618364706 -0.563888636080392 -0.572550346470588 -0.675143668627451 -0.754125281098039 -0.612302232176471 -0.330416536862745 -0.452558388756863 -0.960623313921569 -0.942295044117647 -0.933719477843137 -0.598022528647059 -0.536349286121569 -0.689243492 -0.731869929921569 -0.635342080068627 -0.273092935490196 -0.764272256470588 -0.730924710313726 -0.713219280588235 -0.603220147176471 -0.603220147176471 -0.616173826843137 -0.613758327921569 -0.766006758647059 -0.613912369137255 -0.346014352901961 -0.452401472633333 -0.621834150568627 -0.568339391435294 -0.710933541176471 -0.748133786058824 -0.642784527666667 -0.31088194145098 -0.689990508490196 -0.683935093137255 -0.640627741627451 -0.800305917647059
7 37 0.277553499019608 -0.017680252245098 -0.109884127470588 0.289723193529412 0.599686842019608 0.205400831568627 0.0803111045686274 0.0194648549686274 0.0136118423941176 -0.0403993901937255 -0.0555669507862745 0.0902024120980392 -0.0919118559666667 -0.0481660224529412 -0.0518149564823529 -0.955432128235294 -0.955432128235294 -0.968518534313725 -0.931136387058824 -0.982085509411765 -0.964400725098039 -0.943302450392157 -0.96654636372549 -0.970460500196078 -0.955259392156863 -0.97595125 -0.968653210196078 -0.969744098039216 -0.940829416666667 -0.960587044509804 -0.964838249019608 -0.956267348627451 -0.984403246470588 -0.966071334705882 -0.938452951764706 -0.959359809803922 -0.98299654372549 -0.981156521568627 -0.979420751372549 -0.969463034313725 -0.954018028823529 -0.979475305490196 -0.974526333529412 -0.966155993529412 -0.939672882745098 -0.976699139803922 -0.984883520588235 -0.975020791960784 -0.956469555490196 -0.956469555490196 -0.965457738235294 -0.942056286470588 -0.983397217647059 -0.966824252352941 -0.939726349803922 -0.958166551372549 -0.971275652156863 -0.955930291960784 -0.981729809607843 -0.976425274509804 -0.964310985686274 -0.945171532352941 -0.960944815686275 -0.965372905098039 -0.943440841372549 -0.983084249215686
8 38 0.286042785853659 -0.0153040149282927 -0.110277178902439 0.933906583902439 -0.208440541219512 0.178199273414634 0.0387226009268293 0.0197243240268293 -0.0144374689414634 -0.0706477146951219 -0.0590904060902439 0.070782201902439 -0.0981605323585366 -0.0433456393146342 -0.0292230946902439 -0.169763832512195 -0.169763832512195 -0.363762202 -0.369242780926829 -0.631814594634146 -0.283010578097561 -0.118023311902439 -0.525564184634146 -0.364112075382927 -0.276447083580488 -0.639374713658537 -0.458931609268293 -0.577684075365854 -0.371606377560976 -0.275328676170732 -0.329471668702439 -0.570673761707317 -0.731127327073171 -0.247891885292683 -0.0689764103658537 -0.430545497804878 -0.968868314390244 -0.950471935609756 -0.948738611219512 -0.337253078253659 -0.227713457317073 -0.677775175365854 -0.536228123170732 -0.519152610243902 -0.393752081219512 -0.561053151463415 -0.725263614878049 -0.54877996 -0.314436275265854 -0.314436275265854 -0.352336387048781 -0.495960171187805 -0.741667392439024 -0.236636303658537 -0.103206005707317 -0.426526977804878 -0.369425376829268 -0.226843708170732 -0.715780134878049 -0.563408151536585 -0.49050157902439 -0.456849771707317 -0.444655680187805 -0.387655252317073 -0.535190085609756 -0.774673066829268
9 39 0.284737111836735 -0.00752079837346939 -0.0853300834489796 0.819005883816327 -0.0233740133877551 -0.0175725658122449 0.0709929846530612 0.00574819175959184 -0.0117455602408163 -0.0416778885816327 -0.0778337695102041 0.088112302 -0.0971394234489796 -0.0430618096183673 -0.0614550682734694 -0.949063386122449 -0.949063386122449 -0.986653916734694 -0.937967148979592 -0.99121358122449 -0.983901821632653 -0.94986800755102 -0.94897351755102 -0.990093482653061 -0.980813850204082 -0.979455205918367 -0.975718414285714 -0.959500291836735 -0.949519842244898 -0.944474504489796 -0.981770767142857 -0.944023877959184 -0.987813680816327 -0.982805846734694 -0.932576956734694 -0.92244207755102 -0.972395400816327 -0.95354699244898 -0.928146211469388 -0.989959855714286 -0.980756315510204 -0.981787234081633 -0.977141525102041 -0.950054893469388 -0.947262923673469 -0.987887619591837 -0.989181481020408 -0.987438287346939 -0.919482432244898 -0.919482432244898 -0.980820679183673 -0.923798708163265 -0.986321886530612 -0.98258358755102 -0.928773540612245 -0.916013010408163 -0.990712314489796 -0.982129882244898 -0.982654731428571 -0.977862705102041 -0.945559454081633 -0.951483962653061 -0.921262927918367 -0.978606393877551 -0.924600924489796 -0.985267185510204
10 40 0.273720207021277 -0.0201539276510638 -0.106606200234043 0.297018463319149 0.176256574680851 0.44014430106383 0.0778468577446809 0.0101626950457447 0.00655017030542553 -0.0158876486306383 -0.0874906145319149 0.0957510451914894 -0.100588394340426 -0.0466655764042553 -0.0567316803851064 -0.702201992553191 -0.702201992553191 -0.743303150212766 -0.787593349148936 -0.873430169148936 -0.765026115744681 -0.704808358510638 -0.701715049148936 -0.785296360638298 -0.763571270425532 -0.769259938085106 -0.833494396382979 -0.85876935 -0.765833079574468 -0.754585487446809 -0.75543318893617 -0.862493012765957 -0.887624637659574 -0.76974054 -0.686771183617021 -0.66341546787234 -0.977217321702128 -0.971947604680851 -0.965662038723404 -0.764885358723404 -0.747575867446808 -0.77891240787234 -0.857661814255319 -0.864204948510638 -0.740679779574468 -0.864093895106383 -0.892392689787234 -0.826947686170213 -0.769805746808511 -0.769805746808511 -0.767302808510638 -0.859454817021277 -0.887929122340426 -0.771689065957447 -0.698817614893617 -0.668750130212766 -0.764679456808511 -0.747256458085106 -0.786937611276596 -0.865770583829787 -0.868765846170213 -0.756561716170213 -0.814845174893617 -0.784371241702128 -0.882605148723404 -0.896323284680851
